"name","sku","gtin","image","pack","size","retail_price","ordering_unit","is_catch_weight","average_case_weight","brand","taxonomy","level 1","level 2","level 3","manufacturer_name","distributor_name","content_url","description","unit_price","extra_data"
"Turkey Bratwurst","TURKEYSS",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/7/6/7625/thumb600x600/3110070880/Turkey-Bratwurst1.png",,"10lb/Case",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/turkey-bratwurst/","Mixture of turkey, turkey fat, water, salt and spices. Stuffed in Hog casing.",,"{""allergenInfo"":"""",""case count"":"""",""categories"":""Category: Sausages""}"
"Smoked Bratwurst","SmokedBratwurst",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/7/2/7215/thumb600x600/1045990228/smoked-bratwurst.jpg",,"10lb/Case",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/smoked-bratwurst/","Mixture of pork and spices. Fully cooked.",,"{""allergenInfo"":"""",""case count"":"""",""categories"":""Category: Sausages""}"
"Polish Kielbasa","Polish_Kolbasa",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/7/3/7358/thumb600x600/2300568295/smoked-polish1.jpg",,"10lb/Case",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/polish-kolbasa/","Mixture of pork, beef and spices. Fully cooked.",,"{""allergenInfo"":"""",""case count"":"""",""categories"":""Category: Sausages""}"
"Nurnberger Bratwurst","NurnbergerBratwurst",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/7/2/7218/thumb600x600/4211449118/nurnberger-bratwurst.jpg",,"10lb/Case",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/nurnberger-bratwurst/","Mixture of pork, veal and spices.",,"{""allergenInfo"":"""",""case count"":"""",""categories"":""Category: Sausages""}"
"Natural Casing Frankfurters","Natural_Casing_Frankfurters",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/7/3/7329/thumb600x600/3744489355/natural-casing-frankfurters.jpg",,"10lb/Case",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/natural-casing-frankfurters/","Mixture of pork , beef and spices. Stuffed in natural sheep casing. Fully cooked.",,"{""allergenInfo"":"""",""case count"":"""",""categories"":""Category: Sausages""}"
"Knackwurst","Knackwurst",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/7/3/7361/thumb600x600/2546537360/knackwurst.jpg",,"10lb/Case",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/knackwurst/","Mixture of pork, beef and spices. Fully cooked.",,"{""allergenInfo"":"""",""case count"":"""",""categories"":""Category: Sausages""}"
"Hungarian Blood Hurka Sausage","HUNGARIANSS",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/7/6/7622/thumb600x600/1393926347/Hungarian-Blood-Hurka-Sausage1.png",,"10lb/Case",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/hungarian-blood-hurka-sausage/","Blood pudding stuffed in natural beef casing with pork, rice, beef blood, pork broth, onions, salt and spices. Fully cooked.",,"{""allergenInfo"":"""",""case count"":"""",""categories"":""Category: Sausages""}"
"Fresh Bratwurst","FreshBratwurst",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/7/2/7210/thumb600x600/2857989875/Fresh-Bratwurst.jpg",,"10lb/Case",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/fresh-bratwurst/","Mixture of pork and spices.",,"{""allergenInfo"":"""",""case count"":"""",""categories"":""Category: Sausages""}"
"Chicken, Jalapeno and Cilantro Sausage","CHICKENJALAPENOSS",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/7/6/7616/thumb600x600/2244978213/Chicken-Jalapeno-cilantro-and-onion-sausage1.png",,"10lb/Case",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/chicken-jalapeno-and-cilantro-sausage/","Mixture of chicken, jalapenos, onions, cilantro, salt, lemon juice and spices. Stuffed in Hog casing. Fully cooked.",,"{""allergenInfo"":"""",""case count"":"""",""categories"":""New for 2024, Sausages""}"
"Chicken Apple Sausage","CHICKENAPPLESS",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/7/6/7613/thumb600x600/1295282172/Chicken-apple-sausage1.png",,"10lb/Case",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/chicken-apple-sausage/","Mixture of chicken, apples, brown sugar, salt, black pepper, red pepper, coriander, ginger and sage oil. Stuffed in Hog casing. Fully cooked.",,"{""allergenInfo"":"""",""case count"":"""",""categories"":""Category: Sausages""}"
"British Bangers","BritishBangers",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/7/2/7221/thumb600x600/577532766/british-bangers.jpg",,"10lb/Case",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/british-bangers/","Mixture of pork, breadcrumbs and spices. Fully cooked.",,"{""allergenInfo"":"""",""case count"":"""",""categories"":""Category: Sausages""}"
"Bernese Sausage","12-10002",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/7/6/7601/thumb600x600/4089821009/Bernese-Sausage1.png",,"30pc/Case",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/bernese-sausage/","Frankfurter stuffed with swiss cheese and wrapped with bacon
 

 Can be customized to your choice of cheese",,"{""allergenInfo"":"""",""case count"":"""",""categories"":""New for 2024, Sausages""}"
"Andouille Sausage","Andouille",,"https://www.culinaryspecialties.net/wp-content/uploads/magictoolbox_cache/cf3e6ec01aac7cb79461bcfe9d0d075e/7/6/7619/thumb600x600/3852385075/Chorizo-sausage1.png",,"10lb/Case",,,,,,,,,,,"Culinary Specialties","https://www.culinaryspecialties.net/product/chorizo-sausage/","Mixture of pork, cider vinager, salt, onions, paprika, garlic powder and spices. Raw",,"{""allergenInfo"":"""",""case count"":"""",""categories"":""Category: Sausages""}"