"name","description","brand","category","sku","packSize","barcode","imageUrl","link"
"BEER COEDO SHIKKOKU KEG 20L","","COEDO","BEER","#05471","20 L","N/A","https://ecatalog.wismettacusa.com/upload/img/m/214418426066e1c5cfb72a76.99749798.jpg","https://ecatalog.wismettacusa.com/product.php?id=112973&branch=LOS"
"GIN GARAPPA CRAFT YAMAMOTO SHUZO","","GODAI","ALCOHOL OTHER","#05557","6/ 720 ML","074410055578","https://ecatalog.wismettacusa.com/upload/img/m/10092503466846f225a32d2.79070934.jpg","https://ecatalog.wismettacusa.com/product.php?id=118087&branch=LOS"
"SOY SAUCE GLUTEN FREE 200ML FRESH BTL SK","","SK","SOY SAUCE OTHER","#18613A","12/ 6.76 FZ","074410186135","https://ecatalog.wismettacusa.com/upload/img/m/1675834652670423e4821b58.68831948.jpg","https://ecatalog.wismettacusa.com/product.php?id=110507&branch=LOS"
"DRESSING MUSTARD 4.4LB SK","","SK","DRESSING","#21277","6/ 4.4 LB","074410212773","https://ecatalog.wismettacusa.com/upload/img/m/12732886236564eff394e594.90472723.jpg","https://ecatalog.wismettacusa.com/product.php?id=116797&branch=LOS"
"NATTO IN BAG GOKUKOTSUBU 30Gx10PC SK F","","YAMADA","NATTO","#36804","2/ 12/ 10.5 OZ","074410368043","https://ecatalog.wismettacusa.com/upload/img/m/82846247965dfce20dd1cb0.56069436.jpg","https://ecatalog.wismettacusa.com/product.php?id=119011&branch=LOS"
"NOODLE SHIRATAKI PASTA VEGAN SK","","SK","NOODLE OTHER","#46409","2/ 10/ 13.2 OZ","074410464097","https://ecatalog.wismettacusa.com/upload/img/m/719826776661461a439e6d5.08707336.jpg","https://ecatalog.wismettacusa.com/product.php?id=117883&branch=LOS"
"RAMUNE DRINK 12 SK","","SK","RAMUNE","#78955","12/ 6.76 FZ","074410740467","https://ecatalog.wismettacusa.com/upload/img/m/1578545837662fdf6b97dc47.55116243.jpg","https://ecatalog.wismettacusa.com/product.php?id=121617&branch=LOS"
"RAMUNE DRINK COLOR STRAWBERRY 12 SK","","SK","RAMUNE","#78956","12/ 6.76 FZ","074410741808","https://ecatalog.wismettacusa.com/upload/img/m/709616178669ee4ff3554c0.55662370.jpg","https://ecatalog.wismettacusa.com/product.php?id=121618&branch=LOS"
"RAMUNE DRINK COLOR LYCHEE 12 SK","","SK","RAMUNE","#78957","12/ 6.76 FZ","074410741822","https://ecatalog.wismettacusa.com/upload/img/m/973156735669ee51361de51.62431435.jpg","https://ecatalog.wismettacusa.com/product.php?id=121619&branch=LOS"
"RAMUNE DRINK COLOR MELON 12 SK","","SK","RAMUNE","#78958","12/ 6.76 FZ","074410741846","https://ecatalog.wismettacusa.com/upload/img/m/365674578669ee4e61c5387.18157079.jpg","https://ecatalog.wismettacusa.com/product.php?id=121620&branch=LOS"
"GYOZA SHRIMP GLUTEN FREE 20PC SK F","","SK","GYOZA","#82095","20/ 17.6 OZ","074410820954","https://ecatalog.wismettacusa.com/upload/img/m/158948481265d669c4129473.39026776.jpg","https://ecatalog.wismettacusa.com/product.php?id=116191&branch=LOS"
"SMOKED SALMON ATLN SK CHL F","","SK","SMOKE SALMON","#82164","LB","N/A","https://ecatalog.wismettacusa.com/upload/img/m/15765026265d53ed110c4c4.32653126.jpg","https://ecatalog.wismettacusa.com/product.php?id=117471&branch=LOS"
"BLACK COD MARINATED SAIKYO MISO JPN F","","N/A","BLACK COD","#82251","12/ 2.6 LB","N/A","https://ecatalog.wismettacusa.com/upload/img/m/1864751073668480df7dd2a4.24319655.jpg","https://ecatalog.wismettacusa.com/product.php?id=120271&branch=LOS"
"FRIED TUNA&ONIONS W/SWT&SOUR SAUCE JPN F","","N/A","TUNA OTHER ( SLICE, CUBE )","#82340","22/ 1 LB","N/A","https://ecatalog.wismettacusa.com/upload/img/m/2407928216684811971d1c9.53266677.jpg","https://ecatalog.wismettacusa.com/product.php?id=122395&branch=LOS"
"MACKEREL KABAYAKI JUST CHAMPION TWN F","","N/A","MACKEREL","#84904","100/ 4.58 OZ","074410849047","https://ecatalog.wismettacusa.com/upload/img/m/6065519665739c52bc0613.54794868.jpg","https://ecatalog.wismettacusa.com/product.php?id=117049&branch=LOS"
"TILAPIA KABAYAKI JUST CHAMPION TWN F","","N/A","TILAPIA","#84905","100/ 3.17 OZ","074410849054","https://ecatalog.wismettacusa.com/upload/img/m/134356515365739c72243235.66547864.jpg","https://ecatalog.wismettacusa.com/product.php?id=117050&branch=LOS"
"SAURY KABAYAKI JUST CHAMPION TWN F","","N/A","FISH OTHER ( LOBSTER, ANAGO )","#84906","100/ 2.46 OZ","074410849061","https://ecatalog.wismettacusa.com/upload/img/m/1623870796658cc3ef526f37.27566079.jpg","https://ecatalog.wismettacusa.com/product.php?id=117051&branch=LOS"
"IMITATION CRAB KANI KAMA KANI-TARO SK F","","SK","IMITATION CRAB","#84941","20/ 1.1 LB","074410849412","https://ecatalog.wismettacusa.com/upload/img/m/1026068520663bbc15ed3e76.21659611.jpg","https://ecatalog.wismettacusa.com/product.php?id=117828&branch=LOS"
"VEGAN SALMON SAKU 9.9OZ F","","N/A","SALMON, TROUT","#87003","40/ 9.9 OZ","N/A","https://ecatalog.wismettacusa.com/upload/img/m/2014987817668d868cc16ce4.41989260.jpg","https://ecatalog.wismettacusa.com/product.php?id=122762&branch=LOS"
"VEGAN TUNA SAKU 9.9OZ F","","N/A","TUNA SAKU, LOIN","#87019","40/ 9.9 OZ","N/A","https://ecatalog.wismettacusa.com/upload/img/m/2048235965668d86e36d9bf7.02303884.jpg","https://ecatalog.wismettacusa.com/product.php?id=122758&branch=LOS"
"MEAT COARSE PORK SAUSAGE 16OZ SK F","","SK","FROZEN PROCESSED PRODUCT OTHER","#98215","12/ 16 OZ","074410982157","https://ecatalog.wismettacusa.com/upload/img/m/19219465396659edc61b4569.22956031.jpg","https://ecatalog.wismettacusa.com/product.php?id=108156&branch=LOS"